Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,174.95,-71.7,0.0,top
C2,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,174.95,-73.8,0.0,top
C3,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.1875,-85.05,0.0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.1875,-82.9,0.0,top
C5,15p,C_0603_1608Metric,149.357008,-76.213363,-90.0,top
C6,462p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.9,-76.6125,-90.0,top
C7,22u,C_0603_1608Metric,177.85,-113.35,0.0,top
C8,22u,C_0603_1608Metric,166.85,-106.35,180.0,top
C9,10u,C_0603_1608Metric,167.35,-113.35,180.0,top
C10,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.15,-113.5625,-90.0,top
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.05,-113.5625,-90.0,top
C12,56u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,159.95,-113.6625,90.0,top
C13,100u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.5,-74.6025,-90.0,top
C14,1u,C_0603_1608Metric,143.625,-102.75,0.0,top
C15,100n,C_0603_1608Metric,143.625,-104.7,0.0,top
C19,15p,C_0603_1608Metric,153.107008,-80.463363,-90.0,top
C21,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.940631,-94.521986,-45.0,top
C22,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.983623,-91.833623,-45.0,top
C23,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.044508,-78.788363,180.0,top
C24,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.55,-80.05,90.0,top
C25,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.669508,-86.188363,180.0,top
C26,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.669508,-88.288363,180.0,top
C28,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.669508,-90.388363,180.0,top
C29,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.507008,-92.588363,0.0,top
C31,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.044508,-80.888363,0.0,top
C32,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.507008,-94.688363,0.0,top
D1,D_Schottky,D_SOD-123,178.4,-103.65,0.0,top
D2,D_Schottky,D_SOD-123,124.7,-103.55,0.0,top
D3,1N5819,D_SOD-323,133.85,-80.25,90.0,top
J9,HDMI_A,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,121.3,-53.85,180.0,top
J16,HDGC-0.5K-DX-54PWB,FPC_54,147.05,-110.492857,180.0,top
L1,100u,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,124.3,-83.79,-90.0,top
P1,USB_C_Plug_USB2.0,USB_C_Receptacle_Jing_918-418K2023S40001,124.36,-95.35,-90.0,top
Q3,Q_NMOS_GSD,SOT-23,160.2,-103.9375,90.0,top
R1,10k,R_0603_1608Metric,162.4,-83.3,90.0,top
R2,10k,R_0603_1608Metric,171.15,-73.075,90.0,top
R3,10k,R_0603_1608Metric,169.45,-73.075,90.0,top
R4,10k,R_0603_1608Metric,160.5,-83.3,90.0,top
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.3,-74.34,-90.0,top
R6,15k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.2,-75.24,0.0,top
R7,10k,R_0603_1608Metric,173.95,-96.125,-90.0,top
R8,180,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.25,-83.84,90.0,top
R9,0.5357,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.5,-78.54,90.0,top
R10,1k,R_0603_1608Metric,150.85,-101.45,0.0,top
R11,10k,R_0603_1608Metric,150.1,-99.125,90.0,top
R13,1k,R_0603_1608Metric,151.857008,-76.988363,0.0,top
R14,10k,R_0603_1608Metric,145.475,-76.85,180.0,top
R16,27,R_0603_1608Metric,132.09,-93.65,-90.0,top
R17,27,R_0603_1608Metric,132.09,-96.85,90.0,top
R18,5.1k,R_0603_1608Metric,128.59,-88.1,-90.0,top
U1,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,164.1875,-89.725,90.0,top
U2,MC34063AD,SOIC-8_3.9x4.9mm_P1.27mm,129.025,-79.135,90.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,172.6,-109.6,90.0,top
U4,74LVC245,TSSOP-20_4.4x6.5mm_P0.65mm,172.9875,-78.725,90.0,top
U5,W25Q128JVSIQ,SOIC-8_5.23x5.23mm_P1.27mm,143.407008,-98.79012,90.0,top
U7,RP2040,RP2040-QFN-56,145.575814,-87.959719,135.0,top
Y2,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.357008,-79.988363,-90.0,top
